variable,direct,indirect,total,direct_p,indirect_p,total_p
n_transfers,0.0490259333,-0.033911475,0.015114458,0.0024253,0.7051171,0.808013
walk_share,-1.4906277146,0.9967136757,-0.493914039,2.2e-16,0.0791860,0.4430933
daily_departures,-0.4691243199,-0.1623069231,-0.631431243,3.3491e-11,0.7036858,0.1268181
dist_to_stop_m,0.0007174408,0.0007575431,0.001474984,2.2e-16,0.0963804,0.0026388
origin_dist_centre_km,-0.0613391935,-0.0446473934,-0.105986587,6.5005e-09,0.0035425,2.2e-16
dest_dist_centre_km,0.1510013059,-0.4908954751,-0.339894169,1.4815e-12,0.0010289,0.0304655
origin_working_age_pop,-0.0003045008,-0.0007401591,-0.00104466,0.01134831,0.4071938,0.2710533
dest_working_age_pop,0.0073685833,0.0586441964,0.06601278,0.00097706,0.000003272,0.0000005483
nearest_stop_is_rail,-0.0777325772,0.3011085891,0.223376012,0.07424378,0.217403,0.3869656
car_directness,-1.8669111297,2.157200904,0.290289774,2.2e-16,0.0000057927,0.5701124
