home_code,home_name,work_code,work_name,commuters
201011,Bolesławiec,201022,Bolesławiec,516
201011,Bolesławiec,201032,Gromadka,234
201011,Bolesławiec,201044,Nowogrodziec - miasto,106
201011,Bolesławiec,201045,Nowogrodziec - obszar wiejski,286
201011,Bolesławiec,201052,Osiecznica,160
201011,Bolesławiec,201062,Warta Bolesławiecka,147
201011,Bolesławiec,203011,Głogów,10
201011,Bolesławiec,205011,Jawor,3
201011,Bolesławiec,209011,Chojnów,24
201011,Bolesławiec,209022,Chojnów,225
201011,Bolesławiec,209052,Legnickie Pole,12
201011,Bolesławiec,209062,Miłkowice,3
201011,Bolesławiec,210011,Lubań,42
201011,Bolesławiec,210021,Świeradów-Zdrój,3
201011,Bolesławiec,210072,Siekierczyn,7
201011,Bolesławiec,211011,Lubin,31
201011,Bolesławiec,212015,Gryfów Śląski - obszar wiejski,3
201011,Bolesławiec,212034,Lwówek Śląski - miasto,51
201011,Bolesławiec,212035,Lwówek Śląski - obszar wiejski,94
201011,Bolesławiec,216014,Chocianów - miasto,5
201011,Bolesławiec,216044,Polkowice - miasto,55
201011,Bolesławiec,216045,Polkowice - obszar wiejski,9
201011,Bolesławiec,219011,Świdnica,3
201011,Bolesławiec,223022,Długołęka,4
201011,Bolesławiec,223044,Kąty Wrocławskie - miasto,5
201011,Bolesławiec,223045,Kąty Wrocławskie - obszar wiejski,4
201011,Bolesławiec,223052,Kobierzyce,15
201011,Bolesławiec,225021,Zgorzelec,44
201011,Bolesławiec,225034,Bogatynia - miasto,7
201011,Bolesławiec,225064,Węgliniec - miasto,11
201011,Bolesławiec,225065,Węgliniec - obszar wiejski,4
201011,Bolesławiec,226021,Złotoryja,15
201011,Bolesławiec,226052,Zagrodno,5
201011,Bolesławiec,261011,Jelenia Góra,30
201011,Bolesławiec,262011,Legnica,102
201011,Bolesławiec,264011,Wrocław,253
201011,Bolesławiec,265011,Wałbrzych,13
201011,Bolesławiec,663011,Lublin,6
201011,Bolesławiec,804011,Nowa Sól,6
201011,Bolesławiec,809055,Nowogród Bobrzański - obszar wiejski,4
201011,Bolesławiec,810021,Żagań,11
201011,Bolesławiec,810074,Szprotawa - miasto,3
201011,Bolesławiec,811021,Żary,4
201011,Bolesławiec,861011,Gorzów Wielkopolski,3
201011,Bolesławiec,862011,Zielona Góra,12
201011,Bolesławiec,1061011,Łódź,15
201011,Bolesławiec,1261011,Kraków,17
201011,Bolesławiec,1465011,M.st.Warszawa,164
201011,Bolesławiec,1661011,Opole,7
201011,Bolesławiec,2261011,Gdańsk,4
201011,Bolesławiec,2461011,Bielsko-Biała,6
201011,Bolesławiec,2469011,Katowice,7
201011,Bolesławiec,2477011,Tychy,4
201011,Bolesławiec,3012044,Krotoszyn - miasto,5
201011,Bolesławiec,3021072,Komorniki,8
201011,Bolesławiec,3021084,Kostrzyn - miasto,7
201011,Bolesławiec,3021172,Tarnowo Podgórne,49
201011,Bolesławiec,3064011,Poznań,11
201011,Bolesławiec,3262011,Szczecin,4
201022,Bolesławiec,201011,Bolesławiec,2276
201022,Bolesławiec,201032,Gromadka,140
201022,Bolesławiec,201044,Nowogrodziec - miasto,45
201022,Bolesławiec,201045,Nowogrodziec - obszar wiejski,93
201022,Bolesławiec,201052,Osiecznica,78
201022,Bolesławiec,201062,Warta Bolesławiecka,74
201022,Bolesławiec,203011,Głogów,4
201022,Bolesławiec,205011,Jawor,3
201022,Bolesławiec,209011,Chojnów,8
201022,Bolesławiec,209022,Chojnów,70
201022,Bolesławiec,210011,Lubań,17
201022,Bolesławiec,211011,Lubin,10
201022,Bolesławiec,211032,Rudna,3
201022,Bolesławiec,212034,Lwówek Śląski - miasto,27
201022,Bolesławiec,212035,Lwówek Śląski - obszar wiejski,65
201022,Bolesławiec,216014,Chocianów - miasto,5
201022,Bolesławiec,216044,Polkowice - miasto,20
201022,Bolesławiec,216045,Polkowice - obszar wiejski,3
201022,Bolesławiec,223052,Kobierzyce,7
201022,Bolesławiec,225021,Zgorzelec,14
201022,Bolesławiec,225052,Sulików,4
201022,Bolesławiec,225064,Węgliniec - miasto,5
201022,Bolesławiec,226021,Złotoryja,7
201022,Bolesławiec,226052,Zagrodno,4
201022,Bolesławiec,261011,Jelenia Góra,14
201022,Bolesławiec,262011,Legnica,38
201022,Bolesławiec,264011,Wrocław,95
201022,Bolesławiec,804011,Nowa Sól,3
201022,Bolesławiec,810075,Szprotawa - obszar wiejski,3
